original_sentence,new_sentence,entity,start_idx,end_idx
We have snow on the mountain all the year round.,We have snow on the Makalu all the year round.,Makalu,20.0,26.0
Finally the children saw a little orchard in the middle of the mountain with apple trees growing inside it.,Finally the children saw a little orchard in the middle of the Lhotse with apple trees growing inside it.,Lhotse,63.0,69.0
Nearly 80 percent of the land is mountains.,Nearly 80 percent of the land is Mount Vinson.,Mount Vinson,33.0,45.0
The mountain is 2000 meters above sea level.,The Mount Vinson is 2000 meters above sea level.,Mount Vinson,4.0,16.0
The mountain peak was covered with snow.,The Nanga Parbat peak was covered with snow.,Nanga Parbat,4.0,16.0
"Even as we stand here tonight, we know there are brave Americans waking up in the deserts of Iraq and the mountains of Afghanistan, to risk their lives for us.","Even as we stand here tonight, we know there are brave Americans waking up in the deserts of Iraq and the Annapurna of Afghanistan, to risk their lives for us.",Annapurna,106.0,115.0
We stood on the top of the mountain.,We stood on the top of the Mount Fuji.,Mount Fuji,27.0,37.0
Carlos climbed the mountain.,Carlos climbed the Mounkt Elbrus.,Mount Elbrus,19.0,32.0
The mountain is standing out in sharp relief against the blue sky.,The Mvont Blanc is standing out in sharp relief against the blue sky.,Mont Blanc,4.0,15.0
"There is definitely a way to quit the world and live like an hermit in the mountains, being self-sufficient and without contact with anybody while not dying like a dog.","There is definitely a way to quit the world and live like an hermit in the mountains, being self-sufficient and without contact with anybody while not dying like a dog.",,,
The contrast between the sky and the mountain is striking.,The contrast between the sky and the Mount Elbrusu is striking.,Mount Elbrus,37.0,50.0
"The professional skier liked to ""hot-dog"" down the mountain.","The professional skier liked to ""hot-dog"" down the Denali.",Denali,51.0,57.0
This river rises in the mountains in Nagano.,This river rises in the Anynapurna in Nagano.,Annapurna,24.0,34.0
What's the name of the mountain range?,What's the name of the Mont Blanc range?,Mont Blanc,23.0,33.0
The mountains are a lush green in summer.,The Mount Aconcagua are a lush green in summer.,Mount Aconcagua,4.0,19.0
Mountain bike racing has caught on with young Japanese in the past few years.,Mountain bike racing has caught on with young Japanese in the past few years.,,,
There are colossal mountains in the north.,There are colossal Mount Elbrus in the north.,Mount Elbrus,19.0,31.0
We are going to the mountains.,We are going to the Mount Rainier.,Mount Rainier,20.0,33.0
Mt. Everest is higher than any other mountain in the world.,Mt. Everest is higher than any other Mount Aconcajgua in the world.,Mount Aconcagua,37.0,53.0
No one has been able to reach the top of the mountain.,No one has been able to reach the top of the Mount Elbrus.,Mount Elbrus,45.0,57.0
They hate him because he gives them a mountain of homework.,They hate him because he gives them a Puncak Jaya of homework.,Puncak Jaya,38.0,49.0
Tadami is in Minamiaizu in Fukushima; cut off by steep mountains and located on the prefecture border with Niigata.,Tadami is in Minamiaizu in Fukushima; cut off by steep Mount Vinson and located on the prefecture border with Niigata.,Mount Vinson,55.0,67.0
In all my travels I've never seen a more beautiful mountain than Everest.,In all my travels I've never seen a more beautiful Manaslu than Everest.,Manaslu,51.0,58.0
The action took place in a mountain village.,The action took place in a Nangaf Parbat village.,Nanga Parbat,27.0,40.0
Some people like the sea; others prefer the mountains.,Some people like the sea; others prefer the Dhqaulagiri.,Dhaulagiri,44.0,55.0
My town is surrounded by tall mountains.,My town is surrounded by tall mountains.,,,
Mountains are not necessarily green.,Mountains are not necessarily green.,,,
You had better not climb such high mountains in winter.,You had better not climb such high Cho Oyu in winter.,Cho Oyu,35.0,42.0
I was in the mountains.,I was in the Mount Aconcagua.,Mount Aconcagua,13.0,28.0
"Mountains in the ocean and even whole ranges are still being discovered, and most of them have not yet been explored in detail.","Mountains in the ocean and even whole ranges are still being discovered, and most of them have not yet been explored in detail.",,,
"We climbed up the mountain, but with difficulty.","We climbed up the Matterhorn, but with difficulty.",Matterhorn,18.0,28.0
"This mountain has an altitude of 3,000 meters.","This Puncakg Jaya has an altitude of 3,000 meters.",Puncak Jaya,5.0,17.0
Look at that mountain.,Look at that Nanga Parbat.,Nanga Parbat,13.0,25.0
The mountain is about 3000 meters above sea level.,The Pico de Orizaba is about 3000 meters above sea level.,Pico de Orizaba,4.0,19.0
Faith can move mountains.,Faith can move Mattershorn.,Matterhorn,15.0,26.0
Run and hide in the mountains.,Run and hide in the Matterhorn.,Matterhorn,20.0,30.0
"Seen against the sky, the mountain looked really beautiful.","Seen against the sky, the Manaslu looked really beautiful.",Manaslu,26.0,33.0
The treasure is believed to lie hidden somewhere in the mountain.,The treasure is believed to lie hidden somewhere in the K2.,K2,56.0,58.0
Why don't we go to the mountains this weekend?,Why don't we go to the mountains this weekend?,,,
Let's go for a walk to the mountains.,Let's go for a walk to the mountains.,,,
We had native guides on our trip to the mountain.,We had native guides on our trip to the Mount Kilimanjaro.,Mount Kilimanjaro,40.0,57.0
That is such a high mountain as old people can't climb.,That is such a high Makalu as old people can't climb.,Makalu,20.0,26.0
All the villagers went into the mountains to look for a missing cat.,All the villagers went into the Mount Evercest to look for a missing cat.,Mount Everest,32.0,46.0
The mountain attracts many climbers.,The Pico de Orizaba attracts many climbers.,Pico de Orizaba,4.0,19.0
The mountain is easy of access.,The Puncak Jaya is easy of access.,Puncak Jaya,4.0,15.0
Those mountains over there have turned white this morning.,Those Mount Vinson over there have turned white this morning.,Mount Vinson,6.0,18.0
It's very pleasant here in the mountains.,It's very pleasant here in the Mont uBlanc.,Mont Blanc,31.0,42.0
We could see the reflection of the mountains in the lake.,We could see the reflection of the Denali in the lake.,Denali,35.0,41.0
At one time I lived alone in the mountains.,At one time I lived alone in the Mount Aconcagua.,Mount Aconcagua,33.0,48.0
I know better than to climb mountains in winter without making all necessary preparations beforehand.,I know better than to climb Mount Rainier in winter without making all necessary preparations beforehand.,Mount Rainier,28.0,41.0
It's dangerous to climb this mountain.,It's dangerous to climb this Makalu.,Makalu,29.0,35.0
Mountains look better viewed from a distance.,Mountains look better viewed from a distance.,,,
Everest is the highest mountain in the world.,Everest is the highest Puncak Jaya in the world.,Puncak Jaya,23.0,34.0
The party did not succeed in climbing the mountain.,The party did not succeed in climbing the Mount Fuji.,Mount Fuji,42.0,52.0
"At length, we reached the top of the mountain.","At length, we reached the top of the Cho Oyu.",Cho Oyu,37.0,44.0
You should not climb the mountain in such bad weather.,You should not climb the Cho Oyu in such bad weather.,Cho Oyu,25.0,32.0
We found out recently that some foxes live here on this mountain.,We found out recently that some foxes live here on this K2.,K2,56.0,58.0
It's not absolutely impossible to climb the mountain.,It's not absolutely impossible to climb the Mount Elbrus.,Mount Elbrus,44.0,56.0
You cannot be careful in the mountains.,You cannot be careful in the Mount Elbrus.,Mount Elbrus,29.0,41.0
I would have gone to the mountains had I had the money.,I would have gone to the Dhaulagiri had I had the money.,Dhaulagiri,25.0,35.0
That high mountain is Mt. Tsukuba.,That high Mont Blanc is Mt. Tsukuba.,Mont Blanc,10.0,20.0
I like to walk in the mountains.,I like to walk in the Matterhorcn.,Matterhorn,22.0,33.0
That mountain is five times as high as this one.,That Makalu is five times as high as this one.,Makalu,5.0,11.0
I saw a chain of mountains.,I saw a chain of Pico de Orizaba.,Pico de Orizaba,17.0,32.0
I met some hikers on the mountain.,I met some hikers on the Puncak Jaya.,Puncak Jaya,25.0,36.0
The upper part of the mountain is covered with snow.,The upper part of the Mount Elbrus is covered with snow.,Mount Elbrus,22.0,34.0
It's so grey out there that I can't see the mountains on the other side of the valley.,It's so grey out there that I can't see the Mont Blanc on the other side of the valley.,Mont Blanc,44.0,54.0
We crawled like so many ants along the mountain pass.,We crawled like so many ants along the Pico de Orizaba pass.,Pico de Orizaba,39.0,54.0
"Seen from a distance, this mountain looks like Mt. Fuji.","Seen from a distance, this Mount Vinson looks like Mt. Fuji.",Mount Vinson,27.0,39.0
His airplane crashed in the mountains.,His airplane crashed in the K2.,K2,28.0,30.0
This mountain is difficult to climb.,This mountain is difficult to climb.,,,
It's a lot of fun to climb that mountain.,It's a lot of fun to climb that Makalu.,Makalu,32.0,38.0
"The UFO, with a zigzag movement you couldn't think of as being a plane, flew off into the mountains in the east.","The UFO, with a zigzag movement you couldn't think of as being a plane, flew off into the Puncak Jaya in the east.",Puncak Jaya,90.0,101.0
We watched the sun setting behind the mountains.,We watched the sun setting behind the Matterhorn.,Matterhorn,38.0,48.0
The mountain is covered with snow all the year round.,The Puncak Jaya is covered with snow all the year round.,Puncak Jaya,4.0,15.0
I climb mountains because they are there.,I climb Mount Everest because they are there.,Mount Everest,8.0,21.0
The party walked down the mountain.,The party walked down the K2.,K2,26.0,28.0
"Playing baseball is a sport, and climbing mountains is a sport, too.","Playing baseball is a sport, and climbing Dhaulagiri is a sport, too.",Dhaulagiri,42.0,52.0
I would go to the mountains when young.,I would go to the Kangchenjunga when young.,Kangchenjunga,18.0,31.0
Did you know that some foxes lived on this mountain?,Did you know that some foxes lived on this K2?,K2,43.0,45.0
The air is rare on high mountains.,The air is rare on high mountains.,,,
This dog is trained to save people in the mountains.,This dog is trained to save people in the Makalu.,Makalu,42.0,48.0
Tom loves to climb mountains.,Tom loves to climb Ky2.,K2,19.0,22.0
The two mountains are of equal height.,The two Denali are of equal height.,Denali,8.0,14.0
We call the mountain Tsurugidake.,We call the Kangchenjunga Tsurugidake.,Kangchenjunga,12.0,25.0
Your mother will probably object to your climbing the mountain.,Your mother will probably object to your climbing the Mount Everest.,Mount Everest,54.0,67.0
The air is very pure in the mountains.,The air is very pure in the Mount Elbrus.,Mount Elbrus,28.0,40.0
I don't like my brother climbing the mountains.,I don't like my brother climbing the Mount Kilimanjaro.,Mount Kilimanjaro,37.0,54.0
"With winter coming on, the mountains will soon be covered with snow.","With winter coming on, the Annapurna will soon be covered with snow.",Annapurna,27.0,36.0
